codauto;ccaa;cpro;provincia;sexo;grupo_edad;ola;num_def;num_casos;num_hosp;num_uci;poblacion_total;lat_prov;long_prov;long_ccaa;lat_ccaa
08;Castilla-La Mancha;02;Albacete;Hombres;30-39;tercera_etapa;0;643;6;2;25426;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Hombres;40-49;primera_etapa;1;226;100;13;31591;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Hombres;40-49;segunda_etapa;4;1069;40;7;31591;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Hombres;40-49;tercera_etapa;0;765;19;6;31591;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Hombres;50-59;primera_etapa;13;303;178;24;30493;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Hombres;50-59;segunda_etapa;6;1049;64;21;30493;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Hombres;50-59;tercera_etapa;3;845;46;13;30493;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Hombres;60-69;primera_etapa;36;292;226;41;20738;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Hombres;60-69;segunda_etapa;11;695;95;27;20738;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Hombres;60-69;tercera_etapa;7;490;53;20;20738;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Hombres;70-79;primera_etapa;75;246;218;10;14427;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Hombres;70-79;segunda_etapa;22;391;99;25;14427;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Hombres;70-79;tercera_etapa;23;338;81;23;14427;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Hombres;80+;primera_etapa;125;323;270;2;10163;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Hombres;80+;segunda_etapa;62;347;152;4;10163;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Hombres;80+;tercera_etapa;64;282;91;1;10163;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Hombres;NC;primera_etapa;0;1;0;0;NA;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Hombres;NC;segunda_etapa;0;0;0;0;NA;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Hombres;NC;tercera_etapa;0;0;0;0;NA;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Mujeres;0-9;primera_etapa;1;4;4;1;16492;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Mujeres;0-9;segunda_etapa;0;462;1;0;16492;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Mujeres;0-9;tercera_etapa;0;335;0;0;16492;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Mujeres;10-19;primera_etapa;0;2;2;0;19678;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Mujeres;10-19;segunda_etapa;0;753;3;1;19678;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Mujeres;10-19;tercera_etapa;0;546;3;0;19678;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Mujeres;20-29;primera_etapa;1;70;7;0;20644;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Mujeres;20-29;segunda_etapa;0;934;9;0;20644;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Mujeres;20-29;tercera_etapa;0;652;1;0;20644;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Mujeres;30-39;primera_etapa;0;164;32;2;23638;38,825;-1,980;-3,00;39,5
